Name	Year	Status	Birth Date	Birth Place	Gender	Space Flights	Dead
Vance D. Brand	1966	Retired	05/09/1931	Longmont CA	Male	4	False
Daniel C. Brandenstein	1978	Retired	1/17/1943	Watertown WI	Male	4	False
Randolph J. Bresnik	2004	Active	09/11/1967	Fort Knox KY	Male	1	False
Roy D. Bridges Jr. 	1980	Retired	7/19/1943	Atlanta GA	Male	1	False
Curtis L. Brown Jr. 	1987	Retired	03/11/1956	Elizabethtown NC	Male	6	False
David M. Brown	1996	Deceased	4/16/1956	Arlington VA	Male	1	True
Mark N. Brown	1984	Retired	11/18/1951	Valparaiso IN	Male	2	False
James F. Buchli	1978	Retired	6/20/1945	New Rockford ND	Male	4	False
John S. Bull	1966	Deceased	9/25/1934	Memphis TN	Male	0	True
Daniel C. Burbank	1996	Active	7/27/1961	Machester CT	Male	3	False
Daniel W. Bursch	1990	Retired	7/25/1957	Bristol PA	Male	4	False
Robert D. Cabana	1985	Management	1/23/1949	Minneapolis MN	Male	4	False
Yvonne D. Cagle	1996	Management	4/24/1959	West Point NY	Female	0	False
Fernando Caldeiro	1996	Deceased	06/12/1958	Buenos Aires Argentina	Male	0	True
Tracy E. Caldwell (Dyson)	1998	Active	8/14/1969	Arcadia CA	Female	2	False
Charles J. Camarda	1996	Management	05/08/1952	Queens NY	Male	1	False
Kenneth D. Cameron	1984	Retired	11/29/1949	Cleveland OH	Male	3	False
Duane G. Carey	1996	Retired	4/30/1957	St. Paul MN	Male	1	False
M. Scott Carpenter	1959	Retired	05/01/1925	Boulder CO	Male	1	False
Gerald P. Carr	1966	Retired	8/22/1932	Denver CO	Male	1	False
Manley Lanier Carter Jr. 	1984	Deceased	8/15/1947	Macon GA	Male	1	True
John H. Casper	1984	Management	07/09/1943	Greenville SC	Male	4	False
Christopher J. Cassidy	2004	Active	01/04/1970	Salem MA	Male	1	False
Eugene A. Cernan	1963	Retired	3/14/1934	Chicago IL	Male	3	False
Roger B. Chaffee	1963	Deceased	2/15/1935	Grand Rapids MI	Male	1	True
Gregory E. Chamitoff	1998	Active	08/06/1962	Montreal Canada	Male	2	False
Franklin R. Chang-Diaz	1980	Retired	04/05/1950	San Jose Costa Rica	Male	7	False
Philip K. Chapman	1967	Retired	03/05/1935	Melbourne Australia	Male	0	False
Kalpana Chawla	1995	Deceased	06/01/1961	Karnal India	Female	2	True
Leroy Chiao	1990	Retired	8/28/1960	Milwaukee WI	Male	4	False
Kevin P. Chilton	1987	Retired	03/11/1954	Los Angeles CA	Male	3	False
Laurel B. Clark	1996	Deceased	03/10/1961	Ames IA	Female	1	True
Mary L. Cleave	1980	Retired	02/05/1947	Southampton NY	Female	2	False
Kenneth D. Cockrell	1990	Management	04/09/1950	Austin TX	Male	5	False
Catherine G. Coleman	1992	Active	12/14/1960	Charleston SC	Female	3	False
Eileen M. Collins	1990	Retired	11/19/1959	Elmira NY	Female	4	False
Charles Conrad Jr. 	1962	Deceased	05/02/1930	Philadelphia PA	Male	4	True
L. Gordon Cooper Jr. 	1959	Deceased	03/06/1927	Shawnee OK	Male	2	True
Richard O. Covey	1978	Retired	08/01/1946	Fayetteville AR	Male	4	False
Timothy J. Creamer	1998	Management	11/15/1959	Ft. Huachuca AZ	Male	1	False
Robert L. Crippen	1969	Retired	09/11/1937	Beaumont TX	Male	4	False
Frank L. Culbertson Jr. 	1984	Retired	5/15/1949	Charleston SC	Male	3	False
Walter Cunningham	1963	Retired	3/16/1932	Creston IA	Male	1	False
Robert L. Curbeam Jr. 	1995	Retired	03/05/1962	Baltimore MD	Male	3	False
Nancy J. Currie	1990	Management	12/29/1958	Wilmington DE	Female	4	False
N. Jan Davis	1987	Retired	11/01/1953	Cocoa Beach FL	Female	3	False
Alvin B. Drew Jr. 	2000	Active	11/05/1962	Washington DC	Male	2	False
Brian Duffy	1985	Retired	6/20/1953	Boston MA	Male	4	False
Charles M. Duke Jr. 	1966	Retired	10/03/1935	Charlotte NC	Male	1	False
Bonnie J. Dunbar	1980	Retired	03/03/1949	Sunnyside WA	Female	5	False
Samuel T. Durrance	1990	Retired	9/17/1943	Tallahassee FL	Male	2	False
James P. Dutton Jr. 	2004	Management	11/20/1968	Eugene OR	Male	1	False
Joe F. Edwards Jr. 	1995	Retired	02/03/1958	Richmond VA	Male	1	False
Donn F. Eisele	1963	Deceased	5/23/1930	Columbus OH	Male	1	True
Anthony W. England	1967	Retired	5/15/1942	Indianapolis IN	Male	1	False
Joe H. Engle	1966	Retired	8/26/1932	Dickinson KS	Male	2	False
Jeanette J. Epps	2009	Active	11/03/1970	Syracuse NY	Female	0	False
Ronald E. Evans Jr. 	1966	Deceased	11/10/1933	St. Francis KS	Male	1	True
John M. Fabian	1978	Retired	1/28/1939	Goosecreek TX	Male	2	False
Christopher J. Ferguson	1998	Retired	09/01/1961	Philadelphia PA	Male	3	False
Andrew J. Feustel	2000	Active	8/25/1965	Lancaster PA	Male	2	False
E. Michael Fincke	1996	Active	3/14/1967	Pittsburgh PA	Male	3	False
Jack D. Fischer	2009	Active	1/23/1974	Louisville CO	Male	0	False
Anna L. Fisher	1978	Management	8/24/1949	New York NY	Female	1	False
C. Michael Foale	1987	Active	01/06/1957	Louth England	Male	6	False
Kevin A. Ford	2000	Active	07/07/1960	Portland IN	Male	2	False
Michael J. Foreman	1998	Management	3/29/1957	Columbus OH	Male	2	False
Patrick G. Forrester	1996	Management	3/31/1957	El Paso TX	Male	3	False
Michael E. Fossum	1998	Active	12/19/1957	Sioux Falls SD	Male	3	False
Stephen N. Frick	1996	Management	9/30/1961	Pittsburgh PA	Male	2	False
C. Gordon Fullerton	1969	Retired	10/11/1936	Rochester NY	Male	2	False
Ronald J. Garan Jr. 	2000	Management	10/20/1961	Yonkers NY	Male	2	False
Dale A. Gardner	1978	Retired	11/08/1948	Fairmont MN	Male	2	False
Guy S. Gardner	1980	Retired	01/06/1948	Alta Vista VA	Male	2	False
Owen K. Garriott	1965	Retired	11/22/1930	Enid OK	Male	2	False
Charles D. Gemar	1985	Retired	08/04/1955	Yanktown SD	Male	3	False
Michael L. Gernhardt	1992	Management	05/04/1956	Mansfield OH	Male	4	False
Edward G. Gibson	1965	Retired	11/08/1936	Buffalo NY	Male	1	False
Robert L. Gibson	1978	Retired	10/30/1946	Cooperstown NY	Male	5	False
Edward G. Givens Jr. 	1966	Deceased	01/05/1930	Quanah TX	Male	0	True
John H. Glenn Jr. 	1959	Retired	7/18/1921	Cambridge OH	Male	2	False
Linda M. Godwin	1985	Retired	07/02/1952	Cape Girardeau MO	Female	4	False
Michael T. Good	2000	Management	10/13/1962	Parma OH	Male	2	False
Richard F. Gordon Jr. 	1963	Retired	10/05/1929	Seattle WA	Male	2	False
Dominic L. Gorie	1995	Retired	05/02/1957	Lake Charles LA	Male	4	False
Ronald J. Grabe	1980	Retired	6/13/1945	New York NY	Male	4	False
William G. Gregory	1990	Retired	5/14/1957	Lockport NY	Male	1	False
Virgil I. Grissom	1959	Deceased	04/03/1926	Mitchell IN	Male	2	True
John M. Grunsfeld	1992	Management	10/10/1958	Chicago IL	Male	5	False
Sidney M. Gutierrez	1984	Retired	6/27/1951	Albuquerque NM	Male	2	False
Fred W. Haise Jr. 	1966	Retired	11/14/1933	Biloxi MS	Male	1	False
James D. Halsell Jr. 	1990	Retired	9/29/1956	Monroe LA	Male	5	False
Kenneth T. Ham	1998	Retired	12/12/1964	Plainfield NJ	Male	2	False
L. Blaine Hammond Jr. 	1984	Retired	1/16/1952	Savannah GA	Male	2	False
Gregory J. Harbaugh	1987	Retired	4/15/1956	Cleveland OH	Male	4	False
Bernard A. Harris Jr. 	1990	Retired	6/26/1956	Temple TX	Male	2	False
Terry J. Hart	1978	Retired	10/27/1946	Pittsburgh PA	Male	1	False
Henry W. Hartsfield Jr. 	1969	Retired	11/21/1933	Birmingham AL	Male	3	False
Frederick H. Hauck	1978	Retired	04/11/1941	Long Beach CA	Male	3	False
Steven A. Hawley	1978	Retired	12/12/1951	Ottawa KS	Male	5	False
Susan J. Helms	1990	Retired	2/26/1958	Charlotte NC	Female	5	False
Karl G. Henize	1967	Deceased	10/17/1926	Cincinnati OH	Male	1	True
Terence T. Henricks	1985	Retired	07/05/1952	Bryan OH	Male	4	False
Jose M. Hernandez	2004	Retired	08/07/1962	French Camp CA	Male	1	False
John B. Herrington	1996	Retired	9/14/1958	Wetumka OK	Male	1	False
Richard J. Hieb	1985	Retired	9/21/1955	Jamestown ND	Male	3	False
Joan E. Higginbotham	1996	Retired	08/03/1964	Chicago IL	Female	1	False
David C. Hilmers	1980	Retired	1/28/1950	Clinton IA	Male	4	False
Kathryn P. Hire	1995	Management	8/26/1959	Mobile AL	Female	2	False
Charles O. Hobaugh	1996	Retired	11/05/1961	Bar Harbor ME	Male	3	False
Jeffrey A. Hoffman	1978	Retired	11/02/1944	Brooklyn NY	Male	5	False
Donald L. Holmquest	1967	Retired	04/07/1939	Dallas TX	Male	0	False
Michael S. Hopkins	2009	Active	12/28/1968	Lebanon MO	Male	1	False
Scott J. Horowitz	1992	Retired	3/24/1957	Philadelphia PA	Male	4	False
Douglas G. Hurley	2000	Active	10/21/1966	Endicott NY	Male	2	False
Rick D. Husband	1995	Deceased	07/12/1957	Amarillo TX	Male	2	True
James B. Irwin	1966	Deceased	3/17/1930	Pittsburgh PA	Male	1	True
Marsha S. Ivins	1984	Retired	4/15/1951	Baltimore MD	Female	5	False
Mae C. Jemison	1987	Retired	10/17/1956	Decatur AL	Female	1	False
Tamara E. Jernigan	1985	Retired	05/07/1959	Chattanooga TN	Female	5	False
Brent W. Jett	1992	Retired	10/05/1958	Pontiac MI	Male	4	False
Gregory C. Johnson	1998	Management	7/30/1954	Seattle WA	Male	1	False
Gregory H. Johnson	1998	Active	05/12/1962	London England	Male	2	False
Janet L. Kavandi	1995	Management	7/17/1959	Springfield MO	Female	3	False
James M. Kelly	1996	Management	5/14/1964	Burlington IA	Male	2	False
Mark E. Kelly	1996	Retired	2/21/1964	Orange NJ	Male	4	False
Scott J. Kelly	1996	Active	2/21/1964	Orange NJ	Male	4	False
Joseph P. Kerwin	1965	Retired	2/19/1932	Oak Park IL	Male	1	False
Susan L. Kilrain (Still)	1995	Retired	10/24/1961	Augusta GA	Female	2	False
Robert Shane Kimbrough	2004	Active	06/04/1967	Killeen TX	Male	3	False
Timothy L. Kopra	2000	Active	04/09/1963	Austin TX	Male	2	False
Kevin R. Kregel	1992	Retired	9/16/1956	New York NY	Male	4	False
Wendy B. Lawrence	1992	Retired	07/02/1959	Jacksonville FL	Female	4	False
Mark C. Lee	1984	Retired	8/14/1952	Viroqua WI	Male	4	False
David C. Leestma	1980	Management	05/06/1949	Muskegon MI	Male	3	False
William B. Lenoir	1967	Deceased	3/14/1939	Miami FL	Male	1	True
Don L. Lind	1966	Retired	5/18/1930	Midvale UT	Male	1	False
Kjell N. Lindgren	2009	Active	1/23/1973	Taipei Taiwan	Male	1	False
Steven W. Lindsey	1995	Retired	8/24/1960	Arcadia CA	Male	5	False
Jerry M. Linenger	1992	Retired	1/16/1955	Mount Clemens MI	Male	2	False
Richard M. Linnehan	1992	Management	9/19/1957	Lowell MA	Male	4	False
John A. Llewellyn	1967	Retired	4/22/1933	Cardiff Wales	Male	0	False
Paul S. Lockhart	1996	Retired	4/28/1956	Amarillo TX	Male	2	False
Michael E. Lopez-Alegria	1992	Retired	5/30/1958	Madrid Spain	Male	3	False
Christopher J. Loria	1996	Retired	07/09/1960	Belmont MA	Male	0	False
J. Mike Lounge	1980	Deceased	6/28/1946	Denver CO	Male	3	True
Jack R. Lousma	1966	Retired	2/29/1936	Grand Rapids MI	Male	2	False
Stanley G. Love	1998	Management	06/08/1965	San Diego CA	Male	1	False
G. David Low	1984	Deceased	2/19/1956	Cleveland OH	Male	3	True
Edward T. Lu	1995	Retired	07/01/1963	Springfield MA	Male	3	False
Shannon W. Lucid	1978	Retired	1/14/1943	Shanghai China	Female	5	False
Sandra H. Magnus	1996	Retired	10/30/1964	Belleville IL	Female	3	False
Thomas H. Marshburn	2004	Active	8/29/1960	Statesville NC	Male	2	False
Michael J. Massimino	1996	Management	8/19/1962	Oceanside NY	Male	2	False
Richard A. Mastracchio	1996	Active	02/11/1960	Waterbury CT	Male	4	False
Thomas K. Mattingly II 	1966	Retired	3/17/1936	Chicago IL	Male	3	False
K. Megan McArthur	2000	Active	8/30/1971	Honolulu HI	Female	1	False
William S. McArthur Jr. 	1990	Management	7/26/1951	Laurinburg NC	Male	4	False
Jon A. McBride	1978	Retired	8/14/1943	Charleston WV	Male	1	False
William C. McCool	1996	Deceased	9/23/1961	San Diego CA	Male	1	True
Michael J. McCulley	1984	Retired	08/04/1943	San Diego CA	Male	1	False
James A. McDivitt	1984	Retired	06/10/1929	Chicago IL	Male	2	False
Donald R. McMonagle	1987	Retired	5/14/1952	Flint MI	Male	3	False
Ronald E. McNair	1978	Deceased	10/21/1950	Lake City SC	Male	2	True
Carl J. Meade	1985	Retired	11/16/1950	Chanute Air Force Base IL	Male	3	False
Bruce E. Melnick	1987	Retired	12/05/1949	New York NY	Male	2	False
Pamela A. Melroy	1995	Retired	9/17/1961	Palo Alto CA	Female	3	False
Leland D. Melvin	1998	Management	2/15/1964	Lynchburg VA	Male	2	False
Dorothy M. Metcalf-Lindenberger	2004	Active	05/02/1975	Colorado Springs CO	Female	1	False
F. Curtis Michel	1965	Retired	06/05/1934	LaCrosse WI	Male	0	False
Edgar D. Mitchell	1966	Retired	9/17/1930	Hereford TX	Male	1	False
Barbara R. Morgan	1998	Retired	11/28/1951	Fresno CA	Female	1	False
Lee M. Morin	1996	Management	09/09/1952	Manchester NH	Male	1	False
Richard M. Mullane	1978	Retired	09/10/1945	Wichita Falls TX	Male	3	False
Story Musgrave	1967	Retired	8/19/1935	Boston MA	Male	6	False
Steven R. Nagel	1978	Retired	10/27/1946	Canton IL	Male	4	False
George D. Nelson	1978	Retired	7/13/1950	Charles City IA	Male	3	False
James H. Newman	1990	Retired	10/16/1956	San Diego CA	Male	4	False
Carlos I. Noriega	1995	Retired	10/08/1959	Lima Peru	Male	2	False
Lisa M. Nowak	1996	Retired	05/10/1963	Washington DC	Female	1	False
Karen L. Nyberg	2000	Active	10/07/1969	Parker’s Prairie MN	Female	2	False
Bryan D. O'Connor	1980	Retired	09/06/1946	Orange CA	Male	2	False
Brian T. O'Leary	1967	Deceased	1/27/1940	Boston MA	Male	0	True
Ellen Ochoa	1990	Management	05/10/1958	Los Angeles CA	Female	4	False
William A. Oefelein	1998	Retired	3/29/1965	Ft. Belvoir VA	Male	1	False
John D. Olivas	1998	Retired	5/25/1966	North Hollywood CA	Male	2	False
Ellison S. Onizuka	1978	Deceased	6/24/1946	Kealakekua HI	Male	2	True
Stephen S. Oswald	1985	Retired	6/30/1951	Seattle WA	Male	3	False
Robert F. Overmyer	1969	Deceased	7/14/1936	Lorain OH	Male	2	True
Scott E. Parazynski	1992	Retired	7/28/1961	Little Rock AR	Male	5	False
Robert A. Parker	1967	Retired	12/14/1936	New York NY	Male	2	False
Niclolas J. M. Patrick	1998	Retired	3/22/1964	North Yorkshire England	Male	2	False
Donald R. Pettit	1996	Active	4/20/1955	Silverton OR	Male	3	False
John L. Phillips	1996	Retired	4/15/1951	Ft. Belvoir VA	Male	3	False
William R. Pogue	1966	Retired	1/23/1930	Okemah OK	Male	1	False
Alan G. Poindexter	1998	Deceased	11/05/1961	Pasadena CA	Male	2	True
Mark L. Polansky	1996	Retired	06/02/1956	Paterson NJ	Male	3	False
Charles J. Precourt	1990	Retired	6/29/1955	Waltham MA	Male	4	False
William F. Readdy	1987	Retired	1/24/1952	Quonset Point RI	Male	3	False
Kenneth S. Reightler Jr. 	1987	Retired	3/24/1951	Patuxent River MD	Male	2	False
James F. Reilly II 	1995	Retired	3/18/1954	Mountain Home Air Force Base ID	Male	3	False
Garrett E. Reisman	1998	Retired	02/10/1968	Morristown NJ	Male	2	False
Judith A. Resnik	1978	Deceased	04/05/1949	Akron OH	Female	2	True
Paul W. Richards	1996	Management	5/20/1964	Scranton PA	Male	1	False
Richard N. Richards	1980	Retired	8/24/1946	Key West FL	Male	4	False
Sally K. Ride	1978	Deceased	5/26/1951	Los Angeles CA	Female	2	True
Patricia Hilliard Robertson	1998	Deceased	03/12/1963	Indiana PA	Female	0	True
Stephen K. Robinson	1995	Retired	10/26/1955	Sacramento CA	Male	4	False
Kent V. Rominger	1992	Retired	08/07/1956	Del Norte CO	Male	5	False
Stuart A. Roosa	1966	Deceased	8/16/1933	Durango CO	Male	1	True
Jerry L. Ross	1980	Retired	1/20/1948	Crown Point IN	Male	7	False
Kathleen Rubins	2009	Active	10/14/1978	Farmington CT	Female	1	False
Mario Runco Jr. 	1987	Management	1/26/1952	Bronx NY	Male	3	True
Robert L. Satcher Jr. 	2004	Retired	9/22/1965	Hampton VA	Male	1	False
Walter M. Schirra Jr. 	1959	Deceased	03/12/1923	Hackensack NJ	Male	3	True
Harrison H. Schmitt	1965	Retired	07/03/1935	Santa Rita NM	Male	1	False
Russell L. Schweickart	1963	Retired	10/25/1935	Neptune NJ	Male	1	False
Francis R. Scobee	1978	Deceased	5/19/1939	Cle Elum WA	Male	2	True
Winston E. Scott	1992	Retired	08/06/1950	Miami FL	Male	2	False
Richard A. Searfoss	1990	Retired	06/05/1956	Mount Clemens MI	Male	3	False
Margaret Rhea Seddon	1978	Retired	11/08/1947	Murfreesboro TN	Female	3	False
Ronald M. Sega	1990	Retired	12/04/1952	Cleveland OH	Male	2	False
Piers J. Sellers	1996	Management	04/11/1955	Crowborough England	Male	3	False
Brewster H. Shaw Jr. 	1978	Retired	5/16/1945	Cass City MI	Male	3	False
Alan B. Shepard Jr. 	1959	Deceased	11/18/1923	East Derry NH	Male	2	True
William M. Shepherd	1984	Retired	7/26/1949	Oak Ridge TN	Male	4	False
Loren J. Shriver	1978	Retired	9/23/1944	Jefferson IA	Male	3	False
Donald K. Slayton	1959	Deceased	03/01/1924	Sparta WI	Male	1	True
Michael J. Smith	1980	Deceased	4/30/1945	Beaufort NC	Male	1	True
Steven L. Smith	1992	Management	12/30/1958	Phoenix AZ	Male	4	False
Sherwood C. Spring	1980	Retired	9/23/1944	Hartford CT	Male	1	False
Robert C. Springer	1980	Retired	5/21/1942	St. Louis MO	Male	2	False
Heidemarie M. Stefanyshyn-Piper	1996	Retired	02/07/1963	St. Paul MN	Female	2	False
Robert L. Stewart	1978	Retired	8/13/1942	Washington DC	Male	2	False
Nicole P. Stott	2000	Active	11/19/1962	Albany NY	Female	2	False
Frederick W. Sturckow	1995	Retired	08/11/1961	La Mesa CA	Male	4	False
Kathryn D. Sullivan	1978	Retired	10/03/1951	Patterson NJ	Female	3	False
Steven R. Swanson	1998	Active	12/03/1960	Syracuse NY	Male	3	False
John L. Swigert Jr. 	1966	Deceased	8/30/1931	Denver CO	Male	1	True
Daniel M. Tani	1996	Retired	02/01/1961	Ridley Park PA	Male	2	False
Joseph R. Tanner	1992	Retired	1/21/1950	Danville IL	Male	4	False
Norman E. Thagard	1978	Retired	07/03/1943	Marianna FL	Male	5	False
Andrew S. W. Thomas	1992	Management	12/18/1951	Adelaide Australia	Male	4	False
Donald A. Thomas	1990	Retired	05/06/1955	Cleveland OH	Male	4	False
Stephen D. Thorne	1985	Deceased	02/11/1953	Frankfurt West Germany	Male	0	True
Kathryn C. Thornton	1984	Retired	8/17/1952	Montgomery AL	Female	4	False
William E. Thornton	1967	Retired	4/14/1929	Faison NC	Male	2	False
Pierre J. Thuot	1985	Retired	5/19/1955	Groton CT	Male	3	False
Scott D. Tingle	2009	Active	7/19/1965	Attleboro MA	Male	0	False
Richard H. Truly	1969	Retired	11/12/1937	Fayette MS	Male	2	False
James D. van Hoften	1978	Retired	06/11/1944	Fresno CA	Male	2	False
Mark T. Vande Hei	2009	Active	11/10/1966	Falls Church VA	Male	0	False
Charles Lacy Veach	1984	Deceased	9/18/1944	Chicago IL	Male	2	True
Terry W. Virts Jr. 	2000	Active	12/01/1967	Baltimore MD	Male	2	False
James S. Voss	1987	Retired	03/03/1949	Cordova AL	Male	5	False
Janice E. Voss	1990	Deceased	10/08/1956	South Bend IN	Female	5	True
Rex J. Walheim	1996	Active	10/10/1962	Redwood CA	Male	3	False
David M. Walker	1978	Deceased	5/20/1944	Columbus GA	Male	4	True
Shannon Walker	2004	Active	06/04/1965	Houston TX	Female	1	False
Carl E. Walz	1990	Retired	09/06/1955	Cleveland OH	Male	4	False
Mary E. Weber	1992	Retired	8/24/1962	Cleveland OH	Female	2	False
Paul J. Weitz	1966	Retired	6/25/1932	Erie PA	Male	2	False
James D. Wetherbee	1984	Retired	11/27/1952	Flushing NY	Male	6	False
Douglas H. Wheelock	1998	Active	05/05/1960	Binghamton NY	Male	2	False
Peggy A. Whitson	1996	Active	02/09/1960	Mt. Ayr IA	Female	3	False
Terrence W. Wilcutt	1990	Management	10/31/1949	Russellville KY	Male	4	False
Clifton C. Williams Jr. 	1963	Deceased	9/26/1932	Mobile AL	Male	0	True
Donald E. Williams	1978	Retired	2/13/1958	Lafayette IN	Male	2	False
Jeffrey N. Williams	1996	Active	1/18/1958	Superior WI	Male	4	False
Sunita L. Williams	1998	Active	9/19/1965	Euclid OH	Female	2	False
Barry E. Wilmore	2000	Active	12/29/1962	Murfreesboro TN	Male	2	False
Stephanie D. Wilson	1996	Active	9/27/1966	Boston MA	Female	3	False
G. Reid Wiseman	2009	Active	11/11/1975	Baltimore MD	Male	1	False
Peter J. K. Wisoff	1990	Retired	8/16/1958	Norfolk VA	Male	4	False
David A. Wolf	1990	Retired	8/23/1956	Indianapolis IN	Male	3	False
Neil W. Woodward III 	1998	Retired	7/26/1962	Chicago IL	Male	0	False
Alfred M. Worden	1966	Retired	02/07/1932	Jackson MI	Male	1	False
John W. Young	1962	Retired	9/24/1930	San Francisco CA	Male	6	False
George D. Zamka	1998	Retired	6/29/1962	Jersey City NJ	Male	2	False
